ref_no,order,time,cashier_name,bill_type,pickup_type,payment_method,balance,discount,taxes_svc,payment,tip,change,cashback
3004955,581,6/8/2022 15:31,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿389,฿0,฿0,฿389,฿0,฿0,฿0
3004954,582,6/8/2022 15:19,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿408,-฿21,฿0,฿408,฿0,฿0,฿0
3004953,583,6/8/2022 14:11,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿150,-฿15,฿0,฿150,฿0,฿0,฿0
3004952,584,6/8/2022 13:50,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3004951,585,6/8/2022 13:15,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿130,฿0,฿0,฿200,฿0,฿70,฿0
3004950,586,6/8/2022 13:00,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿581,฿0,฿0,฿581,฿0,฿0,฿0
3004949,587,6/8/2022 11:14,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿185,฿0,฿0,฿185,฿0,฿0,฿0
3004948,588,6/8/2022 11:04,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿225,฿0,฿0,฿225,฿0,฿0,฿0
3004947,589,6/8/2022 10:56,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿190,฿0,฿0,฿190,฿0,฿0,฿0
3004946,590,5/8/2022 21:01,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿319,฿0,฿0,฿319,฿0,฿0,฿0
3004945,591,5/8/2022 20:30,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿683,฿0,฿0,฿683,฿0,฿0,฿0
3004944,592,5/8/2022 20:22,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿130,฿0,฿0,฿130,฿0,฿0,฿0
3004943,593,5/8/2022 20:20,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿189,฿0,฿0,฿189,฿0,฿0,฿0
3004942,594,5/8/2022 20:13,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿255,฿0,฿0,฿255,฿0,฿0,฿0
3004941,595,5/8/2022 20:03,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿414,฿0,฿0,฿414,฿0,฿0,฿0
3004940,596,5/8/2022 19:52,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿175,฿0,฿0,฿175,฿0,฿0,฿0
3004939,597,5/8/2022 19:35,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿314,฿0,฿0,฿314,฿0,฿0,฿0
3004938,598,5/8/2022 19:19,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿240,฿0,฿0,฿240,฿0,฿0,฿0
3004937,599,5/8/2022 19:18,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿219,฿0,฿0,฿219,฿0,฿0,฿0
3004936,600,5/8/2022 17:45,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿235,฿0,฿0,฿235,฿0,฿0,฿0
3004935,601,5/8/2022 17:15,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿185,฿0,฿0,฿500,฿0,฿315,฿0
3004934,602,5/8/2022 17:11,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿65,฿0,฿0,฿100,฿0,฿35,฿0
3004933,603,5/8/2022 16:27,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿90,฿0,฿0,฿90,฿0,฿0,฿0
3004932,604,5/8/2022 15:31,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿90,฿0,฿0,฿90,฿0,฿0,฿0
3004931,605,5/8/2022 15:26,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿284,-฿15,฿0,฿284,฿0,฿0,฿0
3004930,606,5/8/2022 14:45,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿309,฿0,฿0,฿309,฿0,฿0,฿0
3004929,607,5/8/2022 14:20,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿115,฿0,฿0,฿115,฿0,฿0,฿0
3004928,608,5/8/2022 13:49,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿55,฿0,฿0,฿100,฿0,฿45,฿0
3004927,609,5/8/2022 13:39,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿611,฿0,฿0,฿611,฿0,฿0,฿0
3004926,610,5/8/2022 13:38,มินนี่,ทานที่ร้าน,-,เงินสด,฿720,฿0,฿0,"฿1,000",฿0,฿280,฿0
3004925,611,5/8/2022 13:06,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿409,฿0,฿0,฿409,฿0,฿0,฿0
3004924,612,5/8/2022 13:01,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿508,฿0,฿0,฿508,฿0,฿0,฿0
3004923,613,5/8/2022 12:53,มินนี่,ทานที่ร้าน,-,เงินสด,฿130,฿0,฿0,฿130,฿0,฿0,฿0
3004922,614,5/8/2022 12:49,มินนี่,ทานที่ร้าน,-,เงินสด,฿247,฿0,฿0,฿260,฿0,฿13,฿0
3004921,615,5/8/2022 12:49,มินนี่,ทานที่ร้าน,-,เงินสด,฿331,฿0,฿0,฿500,฿0,฿169,฿0
3004920,616,5/8/2022 12:44,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿205,฿0,฿0,฿205,฿0,฿0,฿0
3004919,617,5/8/2022 12:42,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿517,฿0,฿0,฿517,฿0,฿0,฿0
3004918,618,5/8/2022 12:27,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿221,฿0,฿0,฿221,฿0,฿0,฿0
3004917,619,5/8/2022 12:15,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿65,฿0,฿0,฿65,฿0,฿0,฿0
3004916,620,5/8/2022 12:12,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿288,฿0,฿0,฿288,฿0,฿0,฿0
3004915,621,5/8/2022 11:31,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿120,฿0,฿0,"฿1,000",฿0,฿880,฿0
3004914,622,5/8/2022 11:13,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿522,฿0,฿0,฿522,฿0,฿0,฿0
3004913,623,5/8/2022 10:31,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿125,฿0,฿0,฿125,฿0,฿0,฿0
3004912,624,4/8/2022 20:58,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿349,฿0,฿0,฿349,฿0,฿0,฿0
3004911,625,4/8/2022 20:24,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿235,฿0,฿0,฿235,฿0,฿0,฿0
3004910,626,4/8/2022 20:15,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿504,฿0,฿0,฿504,฿0,฿0,฿0
3004909,627,4/8/2022 19:52,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿65,฿0,฿0,฿65,฿0,฿0,฿0
3004908,628,4/8/2022 19:36,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿439,฿0,฿0,฿439,฿0,฿0,฿0
3004907,629,4/8/2022 18:39,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿270,฿0,฿0,฿270,฿0,฿0,฿0
3004906,630,4/8/2022 18:37,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿100,฿0,฿0,฿100,฿0,฿0,฿0
3004905,631,4/8/2022 18:30,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿215,฿0,฿0,฿215,฿0,฿0,฿0
3004904,632,4/8/2022 18:13,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿294,-฿15,฿0,฿294,฿0,฿0,฿0
3004903,633,4/8/2022 17:54,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿100,฿0,฿0,฿100,฿0,฿0,฿0
3004902,634,4/8/2022 17:41,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿180,฿0,฿0,฿180,฿0,฿0,฿0
3004901,635,4/8/2022 17:32,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿175,-฿15,฿0,฿175,฿0,฿0,฿0
3004900,636,4/8/2022 17:32,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿185,฿0,฿0,฿185,฿0,฿0,฿0
3004899,637,4/8/2022 17:24,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿234,฿0,฿0,฿234,฿0,฿0,฿0
3004898,638,4/8/2022 17:23,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿219,฿0,฿0,฿219,฿0,฿0,฿0
3004897,639,4/8/2022 17:23,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿22,-฿17,฿0,฿22,฿0,฿0,฿0
3004896,640,4/8/2022 17:21,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿78,฿0,฿0,฿78,฿0,฿0,฿0
3004895,641,4/8/2022 16:58,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿284,฿0,฿0,฿284,฿0,฿0,฿0
3004894,642,4/8/2022 15:43,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿215,฿0,฿0,฿215,฿0,฿0,฿0
3004893,643,4/8/2022 15:34,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿129,฿0,฿0,฿129,฿0,฿0,฿0
3004892,644,4/8/2022 13:50,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿185,-฿15,฿0,฿185,฿0,฿0,฿0
3004891,645,4/8/2022 13:49,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿150,-฿15,฿0,฿150,฿0,฿0,฿0
3004890,646,4/8/2022 13:48,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3004889,647,4/8/2022 13:46,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿140,฿0,฿0,฿140,฿0,฿0,฿0
3004888,648,4/8/2022 13:40,มินนี่,สั่งกลับบ้าน,Line Man,เงินสด,฿185,-฿15,฿0,฿185,฿0,฿0,฿0
3004887,649,4/8/2022 13:36,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿65,฿0,฿0,฿65,฿0,฿0,฿0
3004886,650,4/8/2022 13:25,มินนี่,สั่งกลับบ้าน,Line Man,เงินสด,฿150,-฿15,฿0,฿150,฿0,฿0,฿0
3004885,651,4/8/2022 13:21,มินนี่,สั่งกลับบ้าน,ShopeeFood,เงินสด,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3004884,652,4/8/2022 13:12,มินนี่,ทานที่ร้าน,-,เงินสด,฿412,฿0,฿0,฿412,฿0,฿0,฿0
3004883,653,4/8/2022 13:01,มินนี่,ทานที่ร้าน,-,เงินสด,฿298,฿0,฿0,฿298,฿0,฿0,฿0
3004882,654,4/8/2022 12:52,มินนี่,ทานที่ร้าน,-,เงินสด,฿209,฿0,฿0,฿209,฿0,฿0,฿0
3004881,655,4/8/2022 12:41,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿336,฿0,฿0,฿336,฿0,฿0,฿0
3004880,656,4/8/2022 12:38,มินนี่,ทานที่ร้าน,-,เงินสด,฿741,฿0,฿0,฿741,฿0,฿0,฿0
3004879,657,4/8/2022 12:36,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿170,฿0,฿0,฿170,฿0,฿0,฿0
3004878,658,4/8/2022 12:33,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿465,฿0,฿0,฿465,฿0,฿0,฿0
3004877,659,4/8/2022 12:25,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3004876,660,4/8/2022 12:24,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿185,฿0,฿0,฿185,฿0,฿0,฿0
3004875,661,4/8/2022 12:24,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿289,฿0,฿0,฿289,฿0,฿0,฿0
3004874,662,4/8/2022 12:08,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3004873,663,4/8/2022 12:05,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿225,฿0,฿0,฿225,฿0,฿0,฿0
3004872,664,4/8/2022 11:48,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿150,-฿15,฿0,฿150,฿0,฿0,฿0
3004871,665,4/8/2022 10:37,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿365,฿0,฿0,฿365,฿0,฿0,฿0
3004870,666,4/8/2022 10:35,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿90,฿0,฿0,฿90,฿0,฿0,฿0
3004869,667,4/8/2022 10:08,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿190,฿0,฿0,฿190,฿0,฿0,฿0
3004868,668,3/8/2022 20:19,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿90,฿0,฿0,฿90,฿0,฿0,฿0
3004867,669,3/8/2022 20:18,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿78,฿0,฿0,฿78,฿0,฿0,฿0
3004866,670,3/8/2022 20:16,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿335,฿0,฿0,฿335,฿0,฿0,-฿55
3004865,671,3/8/2022 20:06,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿345,฿0,฿0,฿345,฿0,฿0,฿0
3004864,672,3/8/2022 20:06,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,"฿1,715",฿0,฿0,"฿1,715",฿0,฿0,฿0
3004863,673,3/8/2022 20:05,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿132,฿0,฿0,฿132,฿0,฿0,฿0
3004862,674,3/8/2022 19:33,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿120,฿0,฿0,฿130,฿0,฿10,฿0
3004861,675,3/8/2022 18:33,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿299,฿0,฿0,฿299,฿0,฿0,฿0
3004860,676,3/8/2022 18:31,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿97,฿0,฿0,฿97,฿0,฿0,฿0
3004859,677,3/8/2022 18:23,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3004858,678,3/8/2022 18:05,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿175,฿0,฿0,฿175,฿0,฿0,฿0
3004857,679,3/8/2022 18:05,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿219,฿0,฿0,฿219,฿0,฿0,฿0
3004856,680,3/8/2022 17:17,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿375,฿0,฿0,฿375,฿0,฿0,฿0
3004855,681,3/8/2022 16:40,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿170,฿0,฿0,฿170,฿0,฿0,฿0
3004854,682,3/8/2022 15:37,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿65,฿0,฿0,฿65,฿0,฿0,฿0
3004853,683,3/8/2022 15:36,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3004852,684,3/8/2022 15:30,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿180,฿0,฿0,฿180,฿0,฿0,฿0
3004851,685,3/8/2022 13:30,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿150,฿0,฿0,฿200,฿0,฿50,฿0
3004850,686,3/8/2022 13:17,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿245,฿0,฿0,฿245,฿0,฿0,฿0
3004849,687,3/8/2022 13:17,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿234,฿0,฿0,฿234,฿0,฿0,฿0
3004848,688,3/8/2022 13:17,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿555,฿0,฿0,฿555,฿0,฿0,฿0
3004847,689,3/8/2022 13:17,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿165,฿0,฿0,฿165,฿0,฿0,฿0
3004846,690,3/8/2022 13:17,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿105,฿0,฿0,฿105,฿0,฿0,฿0
3004845,691,3/8/2022 13:16,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿205,฿0,฿0,฿205,฿0,฿0,฿0
3004844,692,3/8/2022 13:16,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿114,-฿15,฿0,฿114,฿0,฿0,฿0
3004843,693,3/8/2022 13:16,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿160,-฿15,฿0,฿160,฿0,฿0,฿0
3004842,694,3/8/2022 13:16,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿250,฿0,฿0,฿250,฿0,฿0,฿0
3004841,695,3/8/2022 13:16,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿210,฿0,฿0,฿210,฿0,฿0,฿0
3004840,696,3/8/2022 13:03,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿373,฿0,฿0,฿373,฿0,฿0,฿0
3004839,697,3/8/2022 13:02,มินนี่,ทานที่ร้าน,-,เงินสด,฿775,฿0,฿0,฿800,฿0,฿25,฿0
3004838,698,3/8/2022 12:56,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿399,฿0,฿0,฿399,฿0,฿0,฿0
3004837,699,3/8/2022 12:53,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿474,฿0,฿0,฿474,฿0,฿0,฿0
3004836,700,3/8/2022 12:52,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿150,฿0,฿0,฿150,฿0,฿0,฿0
3004835,701,3/8/2022 12:46,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿279,฿0,฿0,฿279,฿0,฿0,฿0
3004834,702,3/8/2022 12:35,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿418,฿0,฿0,฿418,฿0,฿0,฿0
3004833,703,3/8/2022 12:25,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿288,฿0,฿0,฿288,฿0,฿0,฿0
3004832,704,3/8/2022 12:20,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿150,฿0,฿0,฿150,฿0,฿0,฿0
3004831,705,3/8/2022 11:40,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3004830,706,2/8/2022 20:45,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿289,฿0,฿0,฿289,฿0,฿0,฿0
3004829,707,2/8/2022 20:29,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿379,฿0,฿0,฿379,฿0,฿0,฿0
3004828,708,2/8/2022 20:22,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿467,฿0,฿0,฿467,฿0,฿0,฿0
3004827,709,2/8/2022 20:08,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿265,฿0,฿0,฿265,฿0,฿0,฿0
3004826,710,2/8/2022 18:46,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿554,฿0,฿0,฿554,฿0,฿0,฿0
3004825,711,2/8/2022 18:32,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿240,฿0,฿0,฿240,฿0,฿0,฿0
3004824,712,2/8/2022 18:31,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿100,฿0,฿0,฿100,฿0,฿0,฿0
3004823,713,2/8/2022 18:26,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿85,฿0,฿0,฿85,฿0,฿0,฿0
3004822,714,2/8/2022 18:26,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿160,฿0,฿0,฿160,฿0,฿0,฿0
3004821,715,2/8/2022 17:38,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿307,฿0,฿0,฿307,฿0,฿0,฿0
3004820,716,2/8/2022 17:17,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿279,-฿15,฿0,฿279,฿0,฿0,฿0
3004819,717,2/8/2022 17:08,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3004818,718,2/8/2022 16:27,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿215,฿0,฿0,฿215,฿0,฿0,฿0
3004817,719,2/8/2022 14:24,มินนี่,ทานที่ร้าน,-,เงินสด,฿264,฿0,฿0,"฿1,000",฿0,฿736,฿0
3004816,720,2/8/2022 14:20,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿300,฿0,฿0,฿300,฿0,฿0,฿0
3004815,721,2/8/2022 14:06,มินนี่,ทานที่ร้าน,-,เงินสด,฿55,฿0,฿0,฿100,฿0,฿45,฿0
3004814,722,2/8/2022 13:45,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿85,฿0,฿0,"฿1,000",฿0,฿915,฿0
3004813,723,2/8/2022 13:11,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿454,฿0,฿0,฿454,฿0,฿0,฿0
3004812,724,2/8/2022 12:50,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿401,฿0,฿0,฿401,฿0,฿0,฿0
3004811,725,2/8/2022 12:45,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿775,฿0,฿0,฿775,฿0,฿0,฿0
3004810,726,2/8/2022 12:43,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿541,฿0,฿0,฿541,฿0,฿0,฿0
3004809,727,2/8/2022 12:34,มินนี่,ทานที่ร้าน,-,เงินสด,฿433,฿0,฿0,฿500,฿0,฿67,฿0
3004808,728,2/8/2022 12:33,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿200,฿0,฿0,฿200,฿0,฿0,฿0
3004807,729,2/8/2022 12:33,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿335,฿0,฿0,฿335,฿0,฿0,฿0
3004806,730,2/8/2022 12:33,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿185,฿0,฿0,฿185,฿0,฿0,฿0
3004805,731,2/8/2022 12:32,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿175,฿0,฿0,฿175,฿0,฿0,฿0
3004804,732,2/8/2022 12:31,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿732,฿0,฿0,฿732,฿0,฿0,฿0
3004803,733,2/8/2022 12:28,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿396,฿0,฿0,฿396,฿0,฿0,฿0
3004802,734,2/8/2022 10:02,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿190,฿0,฿0,฿190,฿0,฿0,฿0
3004801,735,1/8/2022 20:26,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿129,฿0,฿0,฿129,฿0,฿0,฿0
3004800,736,1/8/2022 20:09,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿574,฿0,฿0,฿574,฿0,฿0,฿0
3004799,737,1/8/2022 19:53,มินนี่,สั่งกลับบ้าน,ShopeeFood,อื่นๆ,฿244,฿0,฿0,฿244,฿0,฿0,฿0
3004798,738,1/8/2022 19:50,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3004797,739,1/8/2022 19:36,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿951,฿0,฿0,฿951,฿0,฿0,฿0
3004796,740,1/8/2022 19:29,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿340,฿0,฿0,฿340,฿0,฿0,฿0
3004795,741,1/8/2022 19:17,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿65,฿0,฿0,฿100,฿0,฿35,฿0
3004794,742,1/8/2022 19:13,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿140,฿0,฿0,฿140,฿0,฿0,฿0
3004793,743,1/8/2022 18:48,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿185,฿0,฿0,฿185,฿0,฿0,฿0
3004792,744,1/8/2022 18:47,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿195,฿0,฿0,฿200,฿0,฿5,฿0
3004791,745,1/8/2022 18:46,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿210,฿0,฿0,฿210,฿0,฿0,฿0
3004790,746,1/8/2022 18:36,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿279,-฿15,฿0,฿279,฿0,฿0,฿0
3004789,747,1/8/2022 18:36,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿165,-฿15,฿0,฿165,฿0,฿0,฿0
3004788,748,1/8/2022 18:36,มินนี่,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿279,฿0,฿0,฿279,฿0,฿0,฿0
3004787,749,1/8/2022 18:24,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿100,-฿17,฿0,฿100,฿0,฿0,฿0
3004786,750,1/8/2022 17:34,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿119,฿0,฿0,฿119,฿0,฿0,฿0
3004785,751,1/8/2022 17:34,มินนี่,สั่งกลับบ้าน,Robinhood,อื่นๆ,฿180,฿0,฿0,฿180,฿0,฿0,฿0
3004784,752,1/8/2022 16:52,มินนี่,ทานที่ร้าน,-,โอนเงิน,฿280,฿0,฿0,฿280,฿0,฿0,฿0
3004783,753,1/8/2022 16:34,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿160,-฿15.00,฿0,฿160,฿0,฿0,฿0
3004782,754,1/8/2022 16:34,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿159,-฿15,฿0,฿159,฿0,฿0,฿0
3004781,755,1/8/2022 16:18,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿65,฿0,฿0,฿100,฿0,฿35,฿0
3004780,756,1/8/2022 14:24,มินนี่,สั่งกลับบ้าน,Line Man,อื่นๆ,฿85,฿0,฿0,฿85,฿0,฿0,฿0
3004779,757,1/8/2022 14:17,มินนี่,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
