ref_no,time,vendor,bill_type,pickup_type,payment_method,sale,payment,tip,change
3003166,26/5/2022 14:04,2,1,1,1,321.0,321.0,0.0,0.0
3003167,26/5/2022 16:49,2,2,4,3,135.0,135.0,0.0,0.0
3003168,26/5/2022 17:31,2,1,1,2,721.0,1000.0,0.0,279.0
3003169,26/5/2022 17:42,2,2,3,3,325.0,325.0,0.0,0.0
3003170,26/5/2022 17:42,2,2,6,3,200.0,200.0,0.0,0.0
3003171,26/5/2022 17:42,2,2,3,3,304.0,304.0,0.0,0.0
3003172,26/5/2022 17:50,2,1,1,2,75.0,100.0,0.0,25.0
3003173,26/5/2022 18:01,2,2,2,3,65.0,65.0,0.0,0.0
3003174,26/5/2022 18:01,2,2,2,3,130.0,130.0,0.0,0.0
3003175,26/5/2022 19:17,2,2,7,3,240.0,240.0,0.0,0.0
3003176,26/5/2022 19:39,2,2,3,3,519.0,519.0,0.0,0.0
3003177,26/5/2022 19:43,2,1,1,2,640.0,1000.0,0.0,360.0
3003178,26/5/2022 19:50,2,2,7,3,305.0,305.0,0.0,0.0
3003179,26/5/2022 20:04,2,1,1,1,194.0,194.0,0.0,0.0
3003180,26/5/2022 20:04,2,2,2,2,120.0,120.0,0.0,0.0
3003181,27/5/2022 10:47,2,2,3,3,175.0,175.0,0.0,0.0
3003182,27/5/2022 11:07,2,2,3,3,90.0,90.0,0.0,0.0
3003183,27/5/2022 12:17,2,2,4,3,100.0,100.0,0.0,0.0
3003184,27/5/2022 12:22,2,2,2,2,240.0,240.0,0.0,0.0
3003185,27/5/2022 12:30,2,2,2,2,240.0,1000.0,0.0,760.0
3003186,27/5/2022 12:31,2,2,3,3,175.0,175.0,0.0,0.0
3003187,27/5/2022 12:31,2,2,4,3,175.0,175.0,0.0,0.0
3003188,27/5/2022 12:31,2,2,3,3,465.0,465.0,0.0,0.0
3003189,27/5/2022 12:31,2,2,4,3,160.0,160.0,0.0,0.0
3003190,27/5/2022 12:32,2,2,3,3,335.0,335.0,0.0,0.0
3003191,27/5/2022 12:32,2,2,3,3,100.0,100.0,0.0,0.0
3003192,27/5/2022 12:32,2,2,4,3,225.0,225.0,0.0,0.0
3003193,27/5/2022 12:35,2,2,2,2,65.0,100.0,0.0,35.0
3003194,27/5/2022 12:41,2,1,1,2,388.0,500.0,0.0,112.0
3003195,27/5/2022 12:51,2,2,4,3,160.0,160.0,0.0,0.0
3003196,27/5/2022 12:53,2,1,1,1,304.0,304.0,0.0,0.0
3003197,27/5/2022 12:57,2,1,1,2,132.0,135.0,0.0,3.0
3003198,27/5/2022 13:00,2,2,4,3,175.0,175.0,0.0,0.0
3003199,27/5/2022 13:31,2,2,4,3,423.0,423.0,0.0,0.0
3003200,27/5/2022 14:42,2,2,4,3,90.0,90.0,0.0,0.0
3003201,27/5/2022 15:21,2,1,1,1,65.0,65.0,0.0,0.0
3003202,27/5/2022 16:05,2,2,3,3,309.0,309.0,0.0,0.0
3003203,27/5/2022 16:15,2,2,3,3,495.0,495.0,0.0,0.0
3003204,27/5/2022 16:15,2,2,4,3,100.0,100.0,0.0,0.0
3003205,27/5/2022 16:51,2,2,2,1,55.0,55.0,0.0,0.0
3003206,27/5/2022 16:55,2,1,1,1,199.0,199.0,0.0,0.0
3003207,27/5/2022 17:21,2,1,1,2,231.0,300.0,0.0,69.0
3003208,27/5/2022 17:26,2,1,1,1,669.0,669.0,0.0,0.0
3003209,27/5/2022 18:06,2,2,3,3,240.0,240.0,0.0,0.0
3003210,27/5/2022 18:21,2,1,1,1,529.0,529.0,0.0,0.0
3003211,27/5/2022 19:10,2,2,7,3,155.0,155.0,0.0,0.0
3003212,27/5/2022 19:10,2,2,4,3,145.0,145.0,0.0,0.0
3003213,27/5/2022 19:41,2,1,1,2,975.0,1000.0,0.0,25.0
3003214,27/5/2022 19:42,2,1,1,1,184.0,184.0,0.0,0.0
3003215,27/5/2022 19:44,2,2,2,2,215.0,220.0,0.0,5.0
3003216,27/5/2022 19:44,2,2,4,3,85.0,85.0,0.0,0.0
3003217,27/5/2022 20:01,2,2,3,3,473.0,473.0,0.0,0.0
3003218,27/5/2022 20:27,2,1,1,1,875.0,875.0,0.0,0.0
3003220,27/5/2022 20:28,2,1,1,1,77.0,77.0,0.0,0.0
3003221,27/5/2022 20:44,2,1,1,2,55.0,70.0,0.0,15.0
3003222,27/5/2022 20:51,2,1,1,2,87.0,100.0,0.0,13.0
3003223,28/5/2022 13:35,2,2,3,3,90.0,90.0,0.0,0.0
3003224,28/5/2022 14:19,2,2,3,3,160.0,160.0,0.0,0.0
3003225,28/5/2022 14:33,2,1,1,1,239.0,239.0,0.0,0.0
3003226,28/5/2022 14:48,2,2,6,3,80.0,80.0,0.0,0.0
3003227,28/5/2022 16:09,2,2,7,3,239.0,239.0,0.0,0.0
3003228,28/5/2022 16:09,2,2,4,3,185.0,185.0,0.0,0.0
3003229,28/5/2022 16:09,2,2,3,3,464.0,464.0,0.0,0.0
3003230,28/5/2022 16:36,2,2,3,3,394.0,394.0,0.0,0.0
3003231,28/5/2022 18:12,2,2,7,3,279.0,279.0,0.0,0.0
3003232,28/5/2022 19:00,2,2,2,2,354.0,1000.0,0.0,646.0
3003233,28/5/2022 19:48,2,2,7,3,160.0,160.0,0.0,0.0
3003234,28/5/2022 19:48,2,2,3,3,275.0,275.0,0.0,0.0
3003235,28/5/2022 20:17,2,1,1,2,546.0,600.0,0.0,54.0
3003236,28/5/2022 20:25,2,1,1,1,161.0,161.0,0.0,0.0
3003237,28/5/2022 20:34,2,1,1,2,193.0,500.0,0.0,307.0
3003238,28/5/2022 20:36,2,2,3,3,540.0,540.0,0.0,0.0
3003239,28/5/2022 20:36,2,2,6,3,404.0,404.0,0.0,0.0
3003240,28/5/2022 21:00,2,1,1,1,140.0,140.0,0.0,0.0
3003241,28/5/2022 21:41,2,2,4,3,100.0,100.0,0.0,0.0
3003242,28/5/2022 21:41,2,2,6,3,115.0,115.0,0.0,0.0
3003243,28/5/2022 22:04,2,1,1,1,524.0,524.0,0.0,0.0
3003244,28/5/2022 22:24,2,1,1,1,114.0,114.0,0.0,0.0
3003245,28/5/2022 22:39,2,1,1,1,302.0,302.0,0.0,0.0
3003246,28/5/2022 22:41,2,2,4,3,343.0,343.0,0.0,0.0
3003247,28/5/2022 23:08,2,2,2,3,190.0,190.0,0.0,0.0
3003248,28/5/2022 23:46,2,2,2,2,205.0,220.0,0.0,15.0
3003249,30/5/2022 11:20,2,2,4,3,165.0,165.0,0.0,0.0
3003250,30/5/2022 12:40,2,1,1,2,581.0,1000.0,0.0,419.0
3003251,30/5/2022 12:45,2,1,1,2,458.0,1000.0,0.0,542.0
3003252,30/5/2022 12:58,2,1,1,1,510.0,510.0,0.0,0.0
3003253,30/5/2022 13:05,2,1,1,2,844.0,1000.0,0.0,156.0
3003254,30/5/2022 13:12,2,1,1,2,249.0,1000.0,0.0,751.0
3003255,30/5/2022 13:13,2,2,2,2,120.0,120.0,0.0,0.0
3003256,30/5/2022 13:13,2,2,6,3,260.0,260.0,0.0,0.0
3003257,30/5/2022 13:13,2,2,4,3,175.0,175.0,0.0,0.0
3003258,30/5/2022 13:13,2,2,3,3,119.0,119.0,0.0,0.0
3003259,30/5/2022 13:26,2,1,1,1,290.0,290.0,0.0,0.0
3003260,30/5/2022 14:12,2,2,3,3,265.0,265.0,0.0,0.0
3003261,30/5/2022 15:59,2,2,7,3,235.0,235.0,0.0,0.0
3003262,30/5/2022 17:07,2,2,7,3,270.0,270.0,0.0,0.0
3003263,30/5/2022 17:07,2,2,7,3,300.0,300.0,0.0,0.0
3003264,30/5/2022 18:18,2,2,4,3,264.0,264.0,0.0,0.0
3003265,30/5/2022 18:31,2,2,2,1,65.0,65.0,0.0,0.0
3003266,30/5/2022 18:42,2,2,3,3,90.0,90.0,0.0,0.0
3003267,30/5/2022 18:42,2,2,4,3,180.0,180.0,0.0,0.0
3003268,30/5/2022 19:47,2,2,2,1,75.0,75.0,0.0,0.0
3003269,30/5/2022 19:51,2,1,1,1,464.0,464.0,0.0,0.0
3003270,30/5/2022 19:53,2,2,2,1,1750.0,1750.0,0.0,0.0
3003271,30/5/2022 20:04,2,1,1,1,97.0,97.0,0.0,0.0
3003272,30/5/2022 20:08,2,1,1,1,868.0,868.0,0.0,0.0
3003273,31/5/2022 11:20,2,2,4,3,465.0,465.0,0.0,0.0
3003274,31/5/2022 11:34,2,1,1,2,46.0,100.0,0.0,54.0
3003275,31/5/2022 11:44,2,2,2,2,375.0,1000.0,0.0,625.0
3003276,31/5/2022 11:46,2,2,3,3,539.0,539.0,0.0,0.0
3003277,31/5/2022 12:09,2,1,1,1,334.0,334.0,0.0,0.0
3003278,31/5/2022 12:10,2,2,2,1,75.0,75.0,0.0,0.0
3003279,31/5/2022 12:10,2,2,7,3,90.0,90.0,0.0,0.0
3003280,31/5/2022 12:10,2,2,3,3,119.0,119.0,0.0,0.0
3003281,31/5/2022 12:14,2,1,1,1,302.0,302.0,0.0,0.0
3003282,31/5/2022 12:18,2,2,3,3,119.0,119.0,0.0,0.0
3003283,31/5/2022 12:28,2,1,1,1,446.0,446.0,0.0,0.0
3003284,31/5/2022 12:43,2,1,1,1,401.0,401.0,0.0,0.0
3003285,31/5/2022 13:03,2,1,1,1,393.0,393.0,0.0,0.0
3003286,31/5/2022 13:19,2,1,1,1,424.0,424.0,0.0,0.0
3003287,31/5/2022 13:19,2,2,3,3,119.0,119.0,0.0,0.0
3003288,31/5/2022 13:19,2,2,4,3,225.0,225.0,0.0,0.0
3003289,31/5/2022 13:42,2,2,3,3,733.0,733.0,0.0,0.0
3003290,31/5/2022 13:52,2,1,1,1,395.0,395.0,0.0,0.0
3003291,31/5/2022 14:05,2,1,1,2,656.0,1000.0,0.0,344.0
3003292,31/5/2022 14:40,2,2,4,3,190.0,190.0,0.0,0.0
3003293,31/5/2022 14:40,2,2,7,3,159.0,159.0,0.0,0.0
3003294,31/5/2022 15:13,2,2,2,1,65.0,65.0,0.0,0.0
3003295,31/5/2022 15:25,2,2,2,2,65.0,100.0,0.0,35.0
3003296,31/5/2022 16:58,2,2,4,3,330.0,330.0,0.0,0.0
3003297,31/5/2022 17:22,2,2,6,3,235.0,235.0,0.0,0.0
3003298,31/5/2022 17:47,2,2,4,3,214.0,214.0,0.0,0.0
3003299,31/5/2022 18:01,2,2,2,2,75.0,75.0,0.0,0.0
3003300,31/5/2022 18:17,2,2,3,3,480.0,480.0,0.0,0.0
3003301,31/5/2022 19:09,2,1,1,1,249.0,249.0,0.0,0.0
3003302,31/5/2022 19:10,2,2,3,3,260.0,260.0,0.0,0.0
3003303,31/5/2022 19:31,2,2,6,3,189.0,189.0,0.0,0.0
3003304,31/5/2022 19:31,2,2,4,3,280.0,280.0,0.0,0.0
3003305,31/5/2022 19:36,2,2,3,3,129.0,129.0,0.0,0.0
3003306,31/5/2022 20:03,2,2,6,3,205.0,205.0,0.0,0.0
3003307,1/6/2022 10:48,2,2,2,1,155.0,155.0,0.0,0.0
3003308,1/6/2022 11:28,2,1,1,2,279.0,500.0,0.0,221.0
3003309,1/6/2022 11:53,2,2,2,2,145.0,200.0,0.0,55.0
3003310,1/6/2022 11:53,2,2,2,2,100.0,100.0,0.0,0.0
3003311,1/6/2022 12:21,2,1,1,2,294.0,294.0,0.0,0.0
3003312,1/6/2022 12:29,2,2,4,3,100.0,100.0,0.0,0.0
3003313,1/6/2022 12:29,2,2,4,3,234.0,234.0,0.0,0.0
3003314,1/6/2022 12:53,2,1,1,1,488.0,488.0,0.0,0.0
3003315,1/6/2022 13:02,2,2,4,3,304.0,304.0,0.0,0.0
3003316,1/6/2022 13:03,2,1,1,1,458.0,458.0,0.0,0.0
3003317,1/6/2022 14:24,2,2,4,3,135.0,135.0,0.0,0.0
3003318,1/6/2022 14:32,2,2,7,3,215.0,215.0,0.0,0.0
3003319,1/6/2022 15:07,2,2,7,3,105.0,105.0,0.0,0.0
3003320,1/6/2022 15:29,2,2,2,2,185.0,200.0,0.0,15.0
3003321,1/6/2022 15:51,2,2,2,2,65.0,100.0,0.0,35.0
3003322,1/6/2022 17:37,2,2,3,3,289.0,289.0,0.0,0.0
3003323,1/6/2022 17:48,2,1,1,2,130.0,1000.0,0.0,870.0
3003324,1/6/2022 18:31,2,1,1,1,346.0,346.0,0.0,0.0
3003325,1/6/2022 18:53,2,2,4,3,265.0,265.0,0.0,0.0
3003326,1/6/2022 18:53,2,2,7,3,90.0,90.0,0.0,0.0
3003327,1/6/2022 18:53,2,2,3,3,320.0,320.0,0.0,0.0
3003328,1/6/2022 19:01,2,1,1,1,398.0,398.0,0.0,0.0
3003329,1/6/2022 19:45,2,2,3,3,335.0,335.0,0.0,0.0
3003330,1/6/2022 20:04,2,2,4,3,354.0,354.0,0.0,0.0
3003331,1/6/2022 20:22,2,1,1,1,400.0,400.0,0.0,0.0
3003332,1/6/2022 20:35,2,2,7,3,155.0,155.0,0.0,0.0
3003333,1/6/2022 20:46,2,2,4,3,339.0,339.0,0.0,0.0
3003334,1/6/2022 20:49,2,1,1,1,314.0,314.0,0.0,0.0
3003335,1/6/2022 20:50,2,2,2,1,1085.0,1085.0,0.0,0.0
3003336,1/6/2022 20:51,2,1,1,1,334.0,334.0,0.0,0.0
3003337,2/6/2022 10:50,2,2,3,3,299.0,299.0,0.0,0.0
3003338,2/6/2022 11:32,2,2,6,3,125.0,125.0,0.0,0.0
3003339,2/6/2022 11:48,2,1,1,1,395.0,395.0,0.0,0.0
3003340,2/6/2022 12:20,2,1,1,2,586.0,600.0,0.0,14.0
3003341,2/6/2022 12:25,2,1,1,2,294.0,500.0,0.0,206.0
3003342,2/6/2022 12:28,2,2,2,2,97.0,100.0,0.0,3.0
3003343,2/6/2022 12:46,2,1,1,1,441.0,441.0,0.0,0.0
3003344,2/6/2022 12:48,2,1,1,2,485.0,500.0,0.0,15.0
3003345,2/6/2022 12:52,2,2,3,3,160.0,160.0,0.0,0.0
3003346,2/6/2022 12:52,2,2,3,3,309.0,309.0,0.0,0.0
3003347,2/6/2022 12:52,2,2,4,3,190.0,190.0,0.0,0.0
3003348,2/6/2022 12:52,2,2,7,3,200.0,200.0,0.0,0.0
3003349,2/6/2022 12:52,2,2,3,3,100.0,100.0,0.0,0.0
3003350,2/6/2022 12:56,2,1,1,1,361.0,361.0,0.0,0.0
3003351,2/6/2022 12:57,2,1,1,1,209.0,209.0,0.0,0.0
3003352,2/6/2022 13:10,2,1,1,1,292.0,292.0,0.0,0.0
3003353,2/6/2022 13:20,2,1,1,1,77.0,77.0,0.0,0.0
3003354,2/6/2022 13:25,2,2,4,3,100.0,100.0,0.0,0.0
3003355,2/6/2022 13:38,2,1,1,1,530.0,530.0,0.0,0.0
3003356,2/6/2022 13:45,2,1,1,1,870.0,870.0,0.0,0.0
3003357,2/6/2022 14:48,2,2,4,3,115.0,115.0,0.0,0.0
3003358,2/6/2022 16:07,2,1,1,1,481.0,481.0,0.0,0.0
3003359,2/6/2022 16:41,2,2,2,1,185.0,185.0,0.0,0.0
3003360,2/6/2022 17:42,2,2,6,3,175.0,175.0,0.0,0.0
3003361,2/6/2022 17:42,2,1,1,1,65.0,65.0,0.0,0.0
3003362,2/6/2022 18:20,2,2,4,3,379.0,379.0,0.0,0.0
3003363,2/6/2022 19:45,2,1,1,1,444.0,444.0,0.0,0.0
3003364,2/6/2022 19:46,2,2,6,3,210.0,210.0,0.0,0.0
3003365,2/6/2022 20:18,2,2,7,3,335.0,335.0,0.0,0.0
3003366,3/6/2022 11:19,2,2,3,3,264.0,264.0,0.0,0.0
3003367,3/6/2022 12:21,2,2,3,3,100.0,100.0,0.0,0.0
3003368,3/6/2022 13:09,2,1,1,1,413.0,413.0,0.0,0.0
3003369,3/6/2022 13:30,2,2,2,2,150.0,1000.0,0.0,850.0
3003370,3/6/2022 14:54,2,1,1,1,179.0,179.0,0.0,0.0
3003371,3/6/2022 15:49,2,1,1,1,349.0,349.0,0.0,0.0
3003372,3/6/2022 15:59,2,1,1,1,65.0,65.0,0.0,0.0
3003373,3/6/2022 16:21,2,1,1,1,300.0,300.0,0.0,0.0
3003374,3/6/2022 16:26,2,2,2,2,85.0,100.0,0.0,15.0
3003375,3/6/2022 16:49,2,2,3,3,85.0,85.0,0.0,0.0
3003376,3/6/2022 17:07,2,1,1,1,140.0,140.0,0.0,0.0
3003377,3/6/2022 17:10,2,1,1,1,489.0,489.0,0.0,0.0
3003378,3/6/2022 18:02,2,2,7,3,220.0,220.0,0.0,0.0
3003379,3/6/2022 18:07,2,2,4,3,165.0,165.0,0.0,0.0
3003380,3/6/2022 18:40,2,1,1,1,324.0,324.0,0.0,0.0
3003381,3/6/2022 18:48,2,2,6,3,214.0,214.0,0.0,0.0
3003382,3/6/2022 19:07,2,2,3,3,175.0,175.0,0.0,0.0
3003383,3/6/2022 19:23,2,2,7,3,205.0,205.0,0.0,0.0
3003384,3/6/2022 19:23,2,2,4,3,144.0,144.0,0.0,0.0
3003385,3/6/2022 19:47,2,2,4,3,204.0,204.0,0.0,0.0
3003386,3/6/2022 20:19,2,2,3,3,743.0,743.0,0.0,0.0
3003387,3/6/2022 20:19,2,2,3,3,129.0,129.0,0.0,0.0
3003388,3/6/2022 20:19,2,2,3,3,265.0,265.0,0.0,0.0
3003389,3/6/2022 20:20,2,2,3,3,200.0,200.0,0.0,0.0
3003390,3/6/2022 20:28,2,1,1,1,444.0,444.0,0.0,0.0
3003391,3/6/2022 20:51,2,1,1,1,145.0,145.0,0.0,0.0
3003392,4/6/2022 12:54,2,2,7,3,390.0,390.0,0.0,0.0
3003393,4/6/2022 13:25,2,2,4,3,410.0,410.0,0.0,0.0
3003394,4/6/2022 13:46,2,2,3,3,235.0,235.0,0.0,0.0
3003395,4/6/2022 15:34,2,1,1,1,334.0,334.0,0.0,0.0
3003396,4/6/2022 16:00,2,2,6,3,294.0,294.0,0.0,0.0
3003397,4/6/2022 16:44,2,1,1,1,152.0,152.0,0.0,0.0
3003398,4/6/2022 16:48,2,1,1,1,95.0,95.0,0.0,0.0
3003399,4/6/2022 17:15,2,1,1,2,279.0,300.0,0.0,21.0
3003400,4/6/2022 18:32,2,2,4,3,275.0,275.0,0.0,0.0
3003401,4/6/2022 18:41,2,1,1,1,239.0,239.0,0.0,0.0
3003402,4/6/2022 19:24,2,1,1,1,369.0,369.0,0.0,0.0
3003403,4/6/2022 20:30,2,1,1,2,172.0,172.0,0.0,0.0
3003404,4/6/2022 20:36,2,1,1,1,154.0,154.0,0.0,0.0
3003405,4/6/2022 20:50,2,2,4,3,150.0,150.0,0.0,0.0
3003406,4/6/2022 22:07,2,1,1,1,304.0,304.0,0.0,0.0
3003407,4/6/2022 22:08,2,2,6,3,129.0,129.0,0.0,0.0
3003408,4/6/2022 23:04,2,2,4,3,154.0,154.0,0.0,0.0
3003409,4/6/2022 23:04,2,2,4,3,75.0,75.0,0.0,0.0
3003410,6/6/2022 11:43,2,2,2,1,65.0,65.0,0.0,0.0
3003411,6/6/2022 12:36,2,1,1,1,249.0,249.0,0.0,0.0
3003412,6/6/2022 12:50,2,1,1,1,221.0,221.0,0.0,0.0
3003413,6/6/2022 12:52,2,1,1,2,460.0,460.0,0.0,0.0
3003414,6/6/2022 13:40,2,1,1,2,210.0,300.0,0.0,90.0
3003415,6/6/2022 13:44,2,1,1,2,434.0,500.0,0.0,66.0
3003416,6/6/2022 14:28,2,2,7,3,269.0,269.0,0.0,0.0
3003417,6/6/2022 15:40,2,2,2,2,280.0,500.0,0.0,220.0
3003418,6/6/2022 16:53,2,2,3,3,250.0,250.0,0.0,0.0
3003419,6/6/2022 17:12,2,2,7,3,80.0,80.0,0.0,0.0
3003420,6/6/2022 17:28,2,2,2,2,130.0,130.0,0.0,0.0
3003421,6/6/2022 18:34,2,2,7,3,90.0,90.0,0.0,0.0
3003422,6/6/2022 18:47,2,1,1,1,485.0,485.0,0.0,0.0
3003423,6/6/2022 18:47,2,2,2,1,260.0,260.0,0.0,0.0
3003424,6/6/2022 19:09,2,2,4,3,304.0,304.0,0.0,0.0
3003425,6/6/2022 19:09,2,2,6,3,125.0,125.0,0.0,0.0
3003426,6/6/2022 19:33,2,2,2,2,280.0,500.0,0.0,220.0
3003427,6/6/2022 19:48,2,2,6,3,204.0,204.0,0.0,0.0
3003428,6/6/2022 19:54,2,1,1,1,397.0,397.0,0.0,0.0
3003429,6/6/2022 20:11,2,2,4,3,335.0,335.0,0.0,0.0
3003430,6/6/2022 20:20,2,2,2,1,120.0,120.0,0.0,0.0
3003431,6/6/2022 20:42,2,1,1,2,210.0,300.0,0.0,90.0
3003432,6/6/2022 20:46,2,2,3,3,274.0,274.0,0.0,0.0
3003433,6/6/2022 20:48,2,2,4,3,509.0,509.0,0.0,0.0
3003434,6/6/2022 20:56,2,2,3,3,275.0,275.0,0.0,0.0
3003435,7/6/2022 9:41,2,2,3,3,115.0,115.0,0.0,0.0
3003436,7/6/2022 10:16,2,2,4,3,260.0,260.0,0.0,0.0
3003437,7/6/2022 10:16,2,2,4,3,100.0,100.0,0.0,0.0
3003438,7/6/2022 11:55,2,1,1,2,562.0,562.0,0.0,0.0
3003439,7/6/2022 12:10,2,2,2,3,175.0,175.0,0.0,0.0
3003440,7/6/2022 12:27,2,1,1,1,353.0,353.0,0.0,0.0
3003441,7/6/2022 12:33,2,1,1,1,446.0,446.0,0.0,0.0
3003442,7/6/2022 12:51,2,1,1,2,247.0,247.0,0.0,0.0
3003443,7/6/2022 12:53,2,1,1,1,314.0,314.0,0.0,0.0
3003444,7/6/2022 12:55,2,1,1,2,239.0,300.0,0.0,61.0
3003445,7/6/2022 13:14,2,1,1,1,1415.0,1415.0,0.0,0.0
3003446,7/6/2022 13:14,2,1,1,1,275.0,275.0,0.0,0.0
3003447,7/6/2022 13:15,2,1,1,1,463.0,463.0,0.0,0.0
3003448,7/6/2022 13:17,2,1,1,1,562.0,562.0,0.0,0.0
3003449,7/6/2022 13:18,2,1,1,1,247.0,247.0,0.0,0.0
3003450,7/6/2022 13:19,2,2,4,3,100.0,100.0,0.0,0.0
3003451,7/6/2022 13:51,2,2,7,3,360.0,360.0,0.0,0.0
3003452,7/6/2022 13:56,2,2,2,2,55.0,105.0,0.0,50.0
3003453,7/6/2022 14:10,2,2,4,3,369.0,369.0,0.0,0.0
3003454,7/6/2022 14:18,2,2,2,1,55.0,55.0,0.0,0.0
3003455,7/6/2022 14:24,2,2,2,2,10.0,10.0,0.0,0.0
3003456,7/6/2022 15:07,2,2,2,2,35.0,35.0,0.0,0.0
3003457,7/6/2022 15:10,2,1,1,2,70.0,80.0,0.0,10.0
3003458,7/6/2022 15:40,2,2,2,3,209.0,209.0,0.0,0.0
3003459,7/6/2022 15:47,2,2,4,3,175.0,175.0,0.0,0.0
3003460,7/6/2022 16:20,2,2,2,2,95.0,95.0,0.0,0.0
3003461,7/6/2022 16:59,2,2,3,3,100.0,100.0,0.0,0.0
3003462,7/6/2022 16:59,2,2,3,3,175.0,175.0,0.0,0.0
3003463,7/6/2022 17:03,2,2,2,1,95.0,95.0,0.0,0.0
3003464,7/6/2022 17:21,2,2,4,3,589.0,589.0,0.0,0.0
3003465,7/6/2022 17:24,2,2,2,1,65.0,65.0,0.0,0.0
3003466,7/6/2022 17:24,2,2,3,3,100.0,100.0,0.0,0.0
3003467,7/6/2022 17:27,2,2,2,1,75.0,75.0,0.0,0.0
3003468,7/6/2022 18:02,2,1,1,1,529.0,529.0,0.0,0.0
3003469,7/6/2022 18:02,2,2,4,3,443.0,443.0,0.0,0.0
3003470,7/6/2022 18:33,2,1,1,2,304.0,320.0,0.0,16.0
3003471,7/6/2022 19:56,2,2,2,3,435.0,435.0,0.0,0.0
3003472,7/6/2022 20:13,2,2,3,3,435.0,435.0,0.0,0.0
3003473,7/6/2022 20:34,2,2,4,3,364.0,364.0,0.0,0.0
3003474,8/6/2022 10:13,2,2,6,3,154.0,154.0,0.0,0.0
3003475,8/6/2022 10:43,2,2,4,3,175.0,175.0,0.0,0.0
3003476,8/6/2022 11:24,2,2,7,3,305.0,305.0,0.0,0.0
3003477,8/6/2022 11:27,2,2,4,3,434.0,434.0,0.0,0.0
3003478,8/6/2022 11:36,2,1,1,2,65.0,100.0,0.0,35.0
3003479,8/6/2022 11:51,2,2,2,1,205.0,205.0,0.0,0.0
3003480,8/6/2022 12:03,2,1,1,1,612.0,612.0,0.0,0.0
3003481,8/6/2022 12:09,2,2,2,2,335.0,1000.0,0.0,665.0
3003482,8/6/2022 12:27,2,2,6,3,279.0,279.0,0.0,0.0
3003483,8/6/2022 12:30,2,1,1,2,551.0,1001.0,0.0,450.0
3003484,8/6/2022 12:32,2,2,3,3,100.0,100.0,0.0,0.0
3003485,8/6/2022 12:42,2,1,1,1,1248.0,1248.0,0.0,0.0
3003486,8/6/2022 12:46,2,1,1,1,470.0,470.0,0.0,0.0
3003487,8/6/2022 12:47,2,1,1,1,379.0,379.0,0.0,0.0
3003488,8/6/2022 12:58,2,1,1,1,379.0,379.0,0.0,0.0
3003489,8/6/2022 13:39,2,2,6,3,90.0,90.0,0.0,0.0
3003490,8/6/2022 14:19,2,2,7,3,90.0,90.0,0.0,0.0
3003491,8/6/2022 16:47,2,1,1,2,77.0,80.0,0.0,3.0
3003492,8/6/2022 17:13,2,2,7,3,75.0,75.0,0.0,0.0
3003493,8/6/2022 17:13,2,2,3,3,309.0,309.0,0.0,0.0
3003494,8/6/2022 17:36,2,1,1,1,266.0,266.0,0.0,0.0
3003495,8/6/2022 17:41,2,2,6,3,195.0,195.0,0.0,0.0
3003496,8/6/2022 17:41,2,2,3,3,119.0,119.0,0.0,0.0
3003497,8/6/2022 17:41,2,2,7,3,305.0,305.0,0.0,0.0
3003499,8/6/2022 17:44,2,2,3,3,90.0,90.0,0.0,0.0
3003500,8/6/2022 18:14,2,1,1,2,339.0,340.0,1.0,0.0
3003501,8/6/2022 19:05,2,2,4,3,204.0,204.0,0.0,0.0
3003502,8/6/2022 19:16,2,2,2,2,130.0,200.0,0.0,70.0
3003503,8/6/2022 19:35,2,1,1,1,245.0,245.0,0.0,0.0
3003504,8/6/2022 19:43,2,2,3,3,189.0,189.0,0.0,0.0
3003505,8/6/2022 20:08,2,2,2,2,10.0,10.0,0.0,0.0
3003506,8/6/2022 20:16,2,2,6,3,170.0,170.0,0.0,0.0
3003507,9/6/2022 9:57,2,2,2,2,20.0,20.0,0.0,0.0
3003508,9/6/2022 10:12,2,2,4,3,175.0,175.0,0.0,0.0
3003509,9/6/2022 10:22,2,1,1,1,75.0,75.0,0.0,0.0
3003510,9/6/2022 10:31,2,2,4,3,135.0,135.0,0.0,0.0
3003511,9/6/2022 11:42,2,2,2,2,110.0,120.0,0.0,10.0
3003512,9/6/2022 11:46,2,2,3,3,339.0,339.0,0.0,0.0
3003513,9/6/2022 11:54,2,2,2,1,280.0,280.0,0.0,0.0
3003514,9/6/2022 12:28,2,2,4,3,379.0,379.0,0.0,0.0
3003515,9/6/2022 12:32,2,2,4,3,225.0,225.0,0.0,0.0
3003516,9/6/2022 13:03,2,1,1,1,444.0,444.0,0.0,0.0
3003517,9/6/2022 14:27,2,2,7,3,155.0,155.0,0.0,0.0
3003518,9/6/2022 16:04,2,2,3,3,289.0,289.0,0.0,0.0
3003519,9/6/2022 16:05,2,2,4,3,378.0,378.0,0.0,0.0
3003520,9/6/2022 16:37,2,2,3,3,189.0,189.0,0.0,0.0
3003521,9/6/2022 16:46,2,2,6,3,214.0,214.0,0.0,0.0
3003522,9/6/2022 17:49,2,2,7,3,205.0,205.0,0.0,0.0
3003523,9/6/2022 17:53,2,2,7,3,80.0,80.0,0.0,0.0
3003524,9/6/2022 18:13,2,1,1,1,175.0,175.0,0.0,0.0
